PATH	DURATION	TRANSCRIPT
/home/suvobratghos_umass_edu/dataset/LibriSpeech/train-clean-100/7635/105661/7635-105661-0009.flac	12.535	but we may observe that few ecclesiastical establishments have been fixed upon a worse foundation than that of the church of rome or have been attended with circumstances more hurtful to the peace and happiness of mankind
/home/suvobratghos_umass_edu/dataset/LibriSpeech/train-clean-100/2092/145706/2092-145706-0005.flac	15.335	and my advice is to eat up his loaf of bread and then to refuse to give him a bit of ours until he has promised to let us put out his eyes or break his legs his eldest brother was delighted with this proposal
/home/suvobratghos_umass_edu/dataset/LibriSpeech/train-clean-100/4195/186238/4195-186238-0009.flac	10.88	a great surprise and pleasure sir thomas i'm engaged this last was directed at the head of the amazed porter who as the door slammed in his face nodded solemnly and remarked
/home/suvobratghos_umass_edu/dataset/LibriSpeech/train-clean-100/2182/150130/2182-150130-0029.flac	14.27	wouldst get thyself shot with a bolt betwixt the ribs like poor diccon cook of all places about the castle the privy garden was perhaps the most sacred it was a small plot of ground only a few rods long and wide
/home/suvobratghos_umass_edu/dataset/LibriSpeech/train-clean-100/2391/145015/2391-145015-0048.flac	6.415	in no circumstance of her life was there any similarity between herself and her heroine in mansfield park
/home/suvobratghos_umass_edu/dataset/LibriSpeech/train-clean-100/4788/91208/4788-91208-0022.flac	13.54	the biggest lion in the path was the doctrine of so called necessary truth this doctrine was especially obnoxious to him as it set up a purely subjective standard of truth and a standard as he was easily able to show
/home/suvobratghos_umass_edu/dataset/LibriSpeech/train-clean-100/211/122442/211-122442-0010.flac	3.82	did i not guess truly is it not some bad affair
/home/suvobratghos_umass_edu/dataset/LibriSpeech/train-clean-100/3214/167602/3214-167602-0028.flac	3.135	said he with a sense of shame and wishing to change the subject
/home/suvobratghos_umass_edu/dataset/LibriSpeech/train-clean-100/3857/182317/3857-182317-0003.flac	14.045	loving us they let us stop their developing in tune with their natures and they've patiently tried ever since to adopt ways of ours they have done it too but of course they can't get far it's not their own road
/home/suvobratghos_umass_edu/dataset/LibriSpeech/train-clean-100/3807/4923/3807-4923-0022.flac	13.52	it was now nearly dark and the figures on the deck were indistinguishable the indignant lieutenant could but guess at the condition of affairs suddenly from out of the darkness a voice hailed him hold water back water
/home/suvobratghos_umass_edu/dataset/LibriSpeech/train-clean-100/4051/11218/4051-11218-0039.flac	3.83	stealing through the streets of colchis on their way to the sacred grove
/home/suvobratghos_umass_edu/dataset/LibriSpeech/train-clean-100/1578/6379/1578-6379-0028.flac	15.045	and various other masculine trifles filling in the interstices oh they gasped in breathless chorus they belong to him conny murmured fervently patty nodded and when i showed uncle tom that suit case he nearly died laughing
/home/suvobratghos_umass_edu/dataset/LibriSpeech/train-clean-100/8088/284756/8088-284756-0007.flac	13.245	if it weren't urgent i wouldn't be calling you you know will you come you bet i said quickly feeling rather a fool for ragging him when he was in such deadly earnest have the receiver snapped and crackled
/home/suvobratghos_umass_edu/dataset/LibriSpeech/train-clean-100/1355/39947/1355-39947-0088.flac	14.34	in the form of good example and persuasions authority and discipline love and sympathy that holds true even for very slight abnormalities which seem still within the limits where the own energies can bring about the cure for instance
/home/suvobratghos_umass_edu/dataset/LibriSpeech/train-clean-100/403/126855/403-126855-0027.flac	4.525	they've got the captain loose and he's coming on like a deer get lively
/home/suvobratghos_umass_edu/dataset/LibriSpeech/train-clean-100/8468/286673/8468-286673-0026.flac	13.26	then one of these great animals stooped over and picked him up and held him bottom side uppermost and rapped on that side which was flat and on the other side which was rounded and stared at him with two great eyes
/home/suvobratghos_umass_edu/dataset/LibriSpeech/train-clean-100/4214/7146/4214-7146-0011.flac	13.545	you'll put down the old brown tea set but you can open the little yellow crock of cherry preserves it's time it was being used anyhow i believe it's beginning to work and you can cut some fruit cake and have some of the cookies and snaps
/home/suvobratghos_umass_edu/dataset/LibriSpeech/train-clean-100/839/130898/839-130898-0020.flac	13.98	and rare among its brethren in that it practices monogamy a good sized eelpout a type of emerald moray whose flavor is excellent wolffish with big eyes
/home/suvobratghos_umass_edu/dataset/LibriSpeech/train-clean-100/1363/135842/1363-135842-0006.flac	11.76	we uns haven't had breakfast yet so we uns are feeling po'ly replied unc billy with a grin a sudden thought popped into peter's head
/home/suvobratghos_umass_edu/dataset/LibriSpeech/train-clean-100/8580/287364/8580-287364-0009.flac	15.3	that's so cried tom we must try to capture him i think we had better the lad paused and again listened to the wireless message father says eradicate saw the man have a gun so we must be careful
/home/suvobratghos_umass_edu/dataset/LibriSpeech/train-clean-100/1553/140047/1553-140047-0030.flac	12.625	oh won't it be the greatest fun emma jane at some of the houses where they can't possibly know me i shan't be frightened and i shall reel off the whole rigmarole invalid babe and all
/home/suvobratghos_umass_edu/dataset/LibriSpeech/train-clean-100/254/127705/254-127705-0010.flac	14.0	it is useless to talk to you about who destroyed your property and killed your people i am old and you can kill me if you will but it is useless to lie to you who know more than all the indians
/home/suvobratghos_umass_edu/dataset/LibriSpeech/train-clean-100/8770/295462/8770-295462-0001.flac	14.75	when he saw the other boys hurting a mud turtle in his first school composition on cruelty to animals his stepsister remembers this sentence an ant's life is as sweet to it
/home/suvobratghos_umass_edu/dataset/LibriSpeech/train-clean-100/4788/294466/4788-294466-0003.flac	14.855	hurry along home to your milking jerry and dick don't you bother to come with us now that you're working on the newcomb ranch you ought to be there it's only a few miles up over this sunshiny road to gleeson we aren't the least bit afraid to ride home alone are we
/home/suvobratghos_umass_edu/dataset/LibriSpeech/train-clean-100/8063/274112/8063-274112-0007.flac	7.765	quite exhausted from dancing you wish to leave me monsieur d'artagnan inquired the king with an air of astonishment
/home/suvobratghos_umass_edu/dataset/LibriSpeech/train-clean-100/254/127705/254-127705-0005.flac	4.625	my young men have sometimes taken horses and mules from the whites
/home/suvobratghos_umass_edu/dataset/LibriSpeech/train-clean-100/248/130697/248-130697-0021.flac	12.875	it could never be my impulse to forsake you said deronda promptly with that voice which like his eyes had the unintentional effect of making his ready sympathy seem more personal and special than it really was
/home/suvobratghos_umass_edu/dataset/LibriSpeech/train-clean-100/3259/158083/3259-158083-0049.flac	8.795	the next day mister o'brien again attempted to see his clients as did also the mother of miss matilda young the youngest prisoner in mister whittaker's care
/home/suvobratghos_umass_edu/dataset/LibriSpeech/train-clean-100/2691/156745/2691-156745-0017.flac	13.89	more disappointments for us were brewing at the fort fallon's party demanded an immediate settlement of its claim it had gone up the mountains under promise that its members should have not only a per diem as rescuers
/home/suvobratghos_umass_edu/dataset/LibriSpeech/train-clean-100/298/126790/298-126790-0034.flac	4.885	for my part i am clear for doctoring though harvey says i am killing myself with medicines
/home/suvobratghos_umass_edu/dataset/LibriSpeech/train-clean-100/8108/280354/8108-280354-0024.flac	12.845	for this was one of the feasts of bacchus and the women were celebrating his rites wandering over the mountains with dance and revel when they saw orpheus they set up a shout of derision see they cried
/home/suvobratghos_umass_edu/dataset/LibriSpeech/train-clean-100/7190/90542/7190-90542-0050.flac	16.2	the back part being closed in the roof was thatched with bark and dried bracken and against one end of the veranda was a notched tree trunk serving as a ladder as i expected said quarles with some excitement we must get onto the veranda for a moment
/home/suvobratghos_umass_edu/dataset/LibriSpeech/train-clean-100/118/124588/118-124588-0006.flac	15.745	perry professed to have seen and conversed with him there was no longer any room for doubt that interview and conversation had actually taken place at eight o'clock on the previous evening and savareen had ridden northward from the gate within five minutes afterwards he could not have proceeded more than a hundred
/home/suvobratghos_umass_edu/dataset/LibriSpeech/train-clean-100/405/130895/405-130895-0009.flac	13.825	it took my breath away in a manner of confounded by this lapse into banality conseil left his sentence hanging my friends i replied very moved
/home/suvobratghos_umass_edu/dataset/LibriSpeech/train-clean-100/5390/30096/5390-30096-0028.flac	11.165	but his best information was to the effect that no one wanted it at all patsy laughed poor uncle john she said the little man however was serious
/home/suvobratghos_umass_edu/dataset/LibriSpeech/train-clean-100/201/127786/201-127786-0081.flac	8.115	but all my care and pains were unavailing for my master made the discovery that i was not a man and harboured the same base designs as my servant
/home/suvobratghos_umass_edu/dataset/LibriSpeech/train-clean-100/6454/120342/6454-120342-0005.flac	15.6949375	and so tuesday night the metropolitan people gave up their unequal contest all good men and angels rejoicing at their discomfiture and only a few of the people in the very lowest bolgie being ill natured enough to grieve
/home/suvobratghos_umass_edu/dataset/LibriSpeech/train-clean-100/3259/158083/3259-158083-0081.flac	11.575	to be allowed to see the president and ask for a special order to visit her daughter failing to secure this she went daily to mister tumulty's office asking if he himself would not intercede for her
/home/suvobratghos_umass_edu/dataset/LibriSpeech/train-clean-100/6437/66173/6437-66173-0050.flac	13.105	as the reader is already familiar with the leading points in the case of bailey versus conway i shall not report the trial further than to say that adams marden and several other pupils testified to the fact
/home/suvobratghos_umass_edu/dataset/LibriSpeech/train-clean-100/5678/43301/5678-43301-0017.flac	15.19	and his thin metallic voice piped a sentence or two across the tinkling splash of the fountains behind him then he stepped back and oliver came forward it was too far for the two to hear what was said but mabel slipped a paper smiling tremulously
/home/suvobratghos_umass_edu/dataset/LibriSpeech/train-clean-100/669/129061/669-129061-0038.flac	13.7700625	as the two brothers passed out of the study she held out her hand to rawdon and said she was glad he was come to breakfast though she could perceive by his haggard unshorn face
